# [MIGRATED REPORT PROVENANCE - flagged 2026-09-09] Commit d5cb15b renumbered
#   every ab(...)@2 id in this file to @3 and, in five of the seven refute
#   reports, deleted the time=-opponent rows. This run was performed by the @2
#   binary. Read @3 here as @2, and check the row count against
#   git show d5cb15b^:<this path> before quoting a rate. See Docs/corrections.md.
# rank.exe refute -- one row per (target, colour)
# oracle=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2	wearer=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2.opener(book,book=22)@1	board=boards/board1.txt
# mined: 1 = the miner found a win, 0 = conceded
# verify: W/L/D for the BOOK's side, replayed through openerBook by the wearer
# blocked_shared: every position on the losing line was owned by an already-won
#   line, so no move could be changed without breaking one. That is the merge
#   conflict a single position-keyed book cannot express.
# audit: 1 = the WRITTEN book won this line replayed on its own. Distinct from
#   `mined`, which only says the line was found while our side was still
#   searching at unbooked plies.
# oob_first: the first of OUR moves the book did not serve, so the fallback brain
#   had to choose (-1 = the book covered the whole line). A line with oob_first
#   >= 0 was carried by the brain, not by the book, whatever its result says.
# oob_key: the position hash at oob_first, in the same 16-digit form the
#   book file uses (0 = the book covered the whole line). Match it against
#   the keys the stage-3 collision warning prints, to see whether a line left
#   the book at a position a later winner overwrote, instead of inferring it
#   from ply numbers.
# ovr_ply / ovr_key: the first of OUR plies where the written book served a
#   move different from the one the mine recorded at that same position, and
#   the position hash there (-1 / 0 = never). A nonzero ovr_key is a measured
#   overwrite of this line by a later winner, not an inference from oob_first.
#   Blank under --verify-only, which has no mined path to compare against.
# rejected: stage-2 wins refused because committing the line would have
#   overwritten a position an already-won line depends on.
# v_plies: half-moves in the openerBook verification game. A line that matches
#   `plies` played the same length game the miner recorded.
colour	mined	audit	verify	timed	plies	v_plies	our_moves	oob_first	oob_count	oob_key	ovr_ply	ovr_key	tried_nodes	tried_moves	rejected	blocked_shared	opponent
B	1	1	W	0	31	31	15	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
W	1	1	W	0	40	40	20	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
B	1	1	W	0	83	83	41	-1	0	0000000000000000	-1	0000000000000000	9	25	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
W	1	0	L	0	56	67	28	16	18	f8c848c4112ac741	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
B	1	1	W	0	59	59	29	-1	0	0000000000000000	-1	0000000000000000	10	30	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
W	1	1	W	0	64	64	32	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
B	1	1	W	0	45	45	22	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
W	1	1	W	0	54	54	27	-1	0	0000000000000000	-1	0000000000000000	12	34	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	9	25	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
W	1	1	W	0	76	76	38	-1	0	0000000000000000	-1	0000000000000000	8	22	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=99,59815079,pool_games,lin,shape=129-1)@1
B	1	1	W	0	37	37	18	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=99,59815079,pool_games,lin,shape=129-1)@1
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2
W	1	1	W	0	42	42	21	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=75,hole=3,race=2,noiseseed=1,racewin=1)@1
B	1	1	W	0	51	51	25	-1	0	0000000000000000	-1	0000000000000000	13	37	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=75,hole=3,race=2,noiseseed=1,racewin=1)@1
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	19	56	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1
B	1	1	W	0	55	55	27	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,qs,nodes=200k)@3.classic(turn=1,chip=4)@2
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=6,tt,ord,qs,nodes=200k)@3.classic(turn=1,chip=4)@2
W	1	1	W	0	48	48	24	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,qs,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
B	1	1	W	0	53	53	26	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,qs,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
W	1	1	W	0	68	68	34	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=1)@1
B	1	1	W	0	85	85	42	-1	0	0000000000000000	-1	0000000000000000	16	46	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=1)@1
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=1)@1
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=1)@1
W	0	0	L	0	50	45	25	14	9	88845bce74e376b1	13	648385b819481b07	11	33	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=2)@1
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=2)@1
W	0	0	L	0	47	47	24	5	19	46c57d0a1e78f2fd	-1	0000000000000000	19	57	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
B	1	1	W	0	61	61	30	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
W	1	1	W	0	74	74	37	-1	0	0000000000000000	-1	0000000000000000	10	28	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
B	1	1	W	0	47	47	23	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
W	1	1	W	0	68	68	34	-1	0	0000000000000000	-1	0000000000000000	9	25	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
B	1	1	W	0	49	49	24	-1	0	0000000000000000	-1	0000000000000000	10	28	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
W	1	1	W	0	80	80	40	-1	0	0000000000000000	-1	0000000000000000	10	28	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
B	1	1	W	0	55	55	27	-1	0	0000000000000000	-1	0000000000000000	17	51	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
W	1	1	W	0	52	52	26	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
B	1	1	W	0	47	47	23	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
B	1	1	W	0	51	51	25	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
W	1	1	W	0	36	36	18	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
B	1	1	W	0	47	47	23	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
W	1	1	W	0	43	43	22	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
B	1	1	W	0	40	40	20	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
W	1	1	W	0	47	47	24	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
B	1	1	W	0	52	52	26	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
W	1	1	W	0	70	70	35	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
B	1	1	W	0	63	63	31	-1	0	0000000000000000	-1	0000000000000000	17	49	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
W	1	1	W	0	57	57	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	50	50	25	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	51	51	26	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	56	56	28	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	60	60	30	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	71	71	35	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	49	49	25	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	49	49	25	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	54	54	27	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	7	20	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	53	53	26	-1	0	0000000000000000	-1	0000000000000000	14	41	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	57	57	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
B	1	1	W	0	38	38	19	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
W	1	1	W	0	83	83	42	-1	0	0000000000000000	-1	0000000000000000	4	12	0	0	ab(deep=4)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
B	1	1	W	0	54	54	27	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
W	1	1	W	0	50	50	25	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
B	1	1	W	0	55	55	27	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
W	1	1	W	0	43	43	22	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	48	48	24	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	76	76	38	-1	0	0000000000000000	-1	0000000000000000	5	14	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	83	83	41	-1	0	0000000000000000	-1	0000000000000000	6	17	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	65	65	33	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	78	78	39	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	56	56	28	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	49	49	24	-1	0	0000000000000000	-1	0000000000000000	6	18	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	43	43	22	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	68	68	34	-1	0	0000000000000000	-1	0000000000000000	6	16	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	65	71	32	9	26	ef5323c57304dc77	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	63	63	32	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	54	54	27	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
