# rank.exe refute -- one row per (target, colour)
# oracle=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2	wearer=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2.opener(book,book=21)@1	board=boards/board1.txt
# mined: 1 = the miner found a win, 0 = conceded
# verify: W/L/D for the BOOK's side, replayed through openerBook by the wearer
# blocked_shared: every position on the losing line was owned by an already-won
#   line, so no move could be changed without breaking one. That is the merge
#   conflict a single position-keyed book cannot express.
# audit: 1 = the WRITTEN book won this line replayed on its own. Distinct from
#   `mined`, which only says the line was found while our side was still
#   searching at unbooked plies.
# oob_first: the first of OUR moves the book did not serve, so the fallback brain
#   had to choose (-1 = the book covered the whole line). A line with oob_first
#   >= 0 was carried by the brain, not by the book, whatever its result says.
# v_plies: half-moves in the openerBook verification game. A line that matches
#   `plies` played the same length game the miner recorded.
colour	mined	audit	verify	timed	plies	v_plies	our_moves	oob_first	oob_count	tried_nodes	tried_moves	blocked_shared	opponent
B	1	1	W	0	46	46	23	-1	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=8)@2
W	1	1	W	0	30	30	15	-1	0	0	0	0	ab(deep=6,noab,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	35	35	17	-1	0	0	0	0	ab(deep=6,noab,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	32	32	16	-1	0	0	0	0	ab(deep=6,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	7	43	0	ab(deep=6,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=6,tt,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,ord,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=6,tt,ord,margin=25,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,margin=25,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=6,tt,ord,margin=50,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,margin=50,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=6,tt,ord,margin=100,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,margin=100,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	47	47	24	-1	0	0	0	0	ab(deep=4)@3.exp(chip=64,column=1,forward=15)@2
B	1	1	W	0	32	32	16	-1	0	0	0	0	ab(deep=4)@3.exp(chip=64,column=1,forward=15)@2
W	1	1	W	0	47	47	24	-1	0	0	0	0	ab(deep=4)@3.exp(chip=65,column=1,forward=14)@2
B	1	1	W	0	32	32	16	-1	0	0	0	0	ab(deep=4)@3.exp(chip=65,column=1,forward=14)@2
W	1	1	W	0	52	52	26	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
B	1	1	W	0	31	31	15	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
W	1	1	W	0	40	40	20	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
B	1	1	W	0	83	83	41	-1	0	9	57	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1
W	1	0	L	0	56	67	28	16	18	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
B	1	1	W	0	59	59	29	-1	0	10	66	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
W	1	1	W	0	64	64	32	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
B	1	1	W	0	45	45	22	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
W	1	1	W	0	54	68	27	-1	0	10	70	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
B	1	1	W	0	57	57	28	-1	0	9	57	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
W	1	1	W	0	76	76	38	-1	0	8	50	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=99,59815079,pool_games,lin,shape=129-1)@1
B	1	1	W	0	37	37	18	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=99,59815079,pool_games,lin,shape=129-1)@1
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2
W	1	1	W	0	42	42	21	-1	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=75,hole=3,race=2,noiseseed=1,racewin=1)@1
B	1	1	W	0	51	51	25	-1	0	13	85	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=75,hole=3,race=2,noiseseed=1,racewin=1)@1
W	1	1	W	0	54	54	27	-1	0	16	109	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1
B	1	1	W	0	55	55	27	-1	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=6,tt,ord,qs,nodes=200k)@3.classic(turn=1,chip=4)@2
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,qs,nodes=200k)@3.classic(turn=1,chip=4)@2
W	1	1	W	0	48	48	24	-1	0	0	0	0	ab(deep=6,tt,ord,qs,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
B	1	1	W	0	53	53	26	-1	0	0	0	0	ab(deep=6,tt,ord,qs,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1
W	1	1	W	0	68	68	34	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=1)@1
B	1	1	W	0	67	67	33	-1	0	13	91	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=1)@1
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=1)@1
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=1)@1
W	1	1	W	0	68	68	34	-1	0	8	52	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=2)@1
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=2)@1
W	1	1	W	0	64	64	32	-1	0	6	39	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
B	1	1	W	0	61	61	30	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
W	1	1	W	0	74	74	37	-1	0	10	64	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
B	1	1	W	0	47	47	23	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
W	1	1	W	0	70	70	35	-1	0	5	33	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
B	1	1	W	0	49	49	24	-1	0	10	64	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
W	1	1	W	0	90	90	45	-1	0	8	54	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
B	1	1	W	0	55	55	27	-1	0	17	115	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
B	1	1	W	0	57	57	28	-1	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
W	1	1	W	0	52	52	26	-1	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
B	1	1	W	0	47	47	23	-1	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
B	1	1	W	0	51	51	25	-1	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
W	1	1	W	0	36	36	18	-1	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
B	1	1	W	0	47	47	23	-1	0	0	0	0	ab(deep=4,tt,ord,nodes=200k)@3.learned(model=10,fead67b7,weight_merge,lin,shape=129-1)@1
W	1	1	W	0	43	43	22	-1	0	0	0	0	ab(deep=2)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
B	1	1	W	0	40	40	20	-1	0	0	0	0	ab(deep=2)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
W	1	1	W	0	47	47	24	-1	0	0	0	0	ab(deep=4)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
B	1	1	W	0	52	52	26	-1	0	0	0	0	ab(deep=4)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
W	1	1	W	0	70	70	35	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
B	1	1	W	0	65	65	32	-1	0	12	82	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=76,ef183148,position_elo,lin,mu_shape=129-1,sigma_shape=129-1)@1
W	1	1	W	0	57	57	29	-1	0	0	0	0	ab(deep=2)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	50	50	25	-1	0	0	0	0	ab(deep=2)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	51	51	26	-1	0	0	0	0	ab(deep=4)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	56	56	28	-1	0	0	0	0	ab(deep=4)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	60	60	30	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	71	71	35	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	49	49	25	-1	0	0	0	0	ab(deep=2)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=2)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	49	49	25	-1	0	0	0	0	ab(deep=4)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	54	54	27	-1	0	0	0	0	ab(deep=4)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	58	58	29	-1	0	7	44	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
B	1	1	W	0	53	53	26	-1	0	12	81	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
W	1	1	W	0	57	57	29	-1	0	0	0	0	ab(deep=2)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
B	1	1	W	0	38	38	19	-1	0	0	0	0	ab(deep=2)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
W	1	1	W	0	83	83	42	-1	0	4	24	0	ab(deep=4)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
B	1	1	W	0	54	54	27	-1	0	0	0	0	ab(deep=4)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
W	1	1	W	0	50	50	25	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
B	1	1	W	0	55	55	27	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
W	1	1	W	0	43	43	22	-1	0	0	0	0	ab(deep=4)@3.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	48	48	24	-1	0	0	0	0	ab(deep=4)@3.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	76	76	38	-1	0	5	30	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	69	69	34	-1	0	5	33	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=110,1466db6c,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	65	65	33	-1	0	0	0	0	ab(deep=4)@3.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	78	78	39	-1	0	0	0	0	ab(deep=4)@3.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	56	56	28	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	49	49	24	-1	0	6	38	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=111,78ef6974,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	43	43	22	-1	0	0	0	0	ab(deep=4)@3.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=4)@3.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	68	68	34	-1	0	6	36	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	65	71	32	9	26	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=112,baa2951a,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	63	63	32	-1	0	0	0	0	ab(deep=4)@3.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	54	54	27	-1	0	0	0	0	ab(deep=4)@3.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	44	44	22	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	67	67	33	-1	0	10	68	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=113,e3cc8b4e,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	55	55	28	-1	0	0	0	0	ab(deep=4)@3.learned(model=114,316257e9,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=4)@3.learned(model=114,316257e9,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	68	68	34	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=114,316257e9,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	73	73	36	-1	0	7	43	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=114,316257e9,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	59	59	30	-1	0	0	0	0	ab(deep=4)@3.learned(model=115,21d7e638,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	48	48	24	-1	0	0	0	0	ab(deep=4)@3.learned(model=115,21d7e638,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	54	54	27	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=115,21d7e638,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
B	1	1	W	0	67	67	33	-1	0	9	57	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=115,21d7e638,position_elo,mlp,mu_shape=129-512-8-1,sigma_shape=129-64-1)@1
W	1	1	W	0	72	72	36	-1	0	7	45	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=7)@1
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=7)@1
W	1	1	W	0	52	52	26	-1	0	8	51	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=8)@1
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=8)@1
W	1	1	W	0	68	68	34	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=9)@1
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=9)@1
W	1	1	W	0	68	68	34	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=4)@1
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=4)@1
W	1	1	W	0	68	68	34	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1
B	1	1	W	0	61	61	30	-1	0	10	64	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1
W	1	1	W	0	68	68	34	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=11)@1
B	1	1	W	0	61	61	30	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=11)@1
W	1	1	W	0	68	68	34	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1
B	1	1	W	0	61	61	30	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1
W	1	1	W	0	68	68	34	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1
B	1	1	W	0	61	61	30	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1
W	1	1	W	0	68	68	34	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=2)@1
B	1	1	W	0	61	61	30	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=2)@1
W	1	1	W	0	64	64	32	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=6)@1
B	1	1	W	0	51	51	25	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=6)@1
W	1	1	W	0	60	60	30	-1	0	5	31	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=2)@1
B	1	1	W	0	61	61	30	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=2)@1
W	1	1	W	0	54	54	27	-1	0	1	1	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=3)@1
B	1	1	W	0	55	55	27	-1	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=3)@1
W	1	1	W	0	74	74	37	-1	0	1	4	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=2)@1
B	1	1	W	0	33	33	16	-1	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=2)@1
W	1	1	W	0	48	48	24	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=13)@1
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=13)@1
