# rank.exe refute -- refutation book, one entry per position where the
# book-wearer moves. Lines carry the full continuation to the win, so the
# wearer's own brain is never consulted on a covered line.
# oracle=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2
# board=boards/board1.txt	roster=ranking/roster_refute_snapshot.txt
# targets=210	solved=203
# wear it as: ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2.opener(book,book=26)@1
0c84bcdc7082676b 3 4 2
0c8922f9a9525568 1 7 0
0c8e4aa9cbb37400 0 7 1
0c935cf3d801f01b 1 1 0
0cb172dd6df2b6a7 1 5 1
0cbc8d938b112a97 3 5 2
0cce07de99134b61 2 6 1
0cdcedb2df6cb543 1 5 0
0ce209695ab871e4 1 2 1
0cf3a500a17bd178 4 4 3
0cf49acedc1ef130 1 5 0
0cf7e4c098d98eaf 7 2 6
0d0373ff8a0fe6d4 0 3 1
0d1aa5a28ceb6e62 1 5 0
0d243a07e2cb1805 6 1 5
0d32a2997624941d 3 1 2
0d69a43238be840b 3 0 2
0d779f103dbdf20e 4 4 5
0d8736ae710f951a 6 2 7
0d89e7b26d647c3c 0 3 1
0daa8bee00e3b11e 2 2 1
0dacd2a414fb39aa 6 2 5
0db79724ab507f31 3 2 4
0db977a1bed8ef73 1 7 2
0dc0fd46805dd3f7 6 2 5
0dd92619ce418990 6 1 5
0deab42dd5eafa59 3 3 2
0deb8d9d9e18e7ae 1 0 2
0e1c31fb53604fde 2 4 1
0e5276e210d4d309 5 1 4
0e5e1f97ec2b7dc7 1 5 0
0e5ee1a7e02660c4 2 2 2
0e648b7485619387 2 1 1
0e8f8f78c3e354bd 3 4 2
0ea0ca1e897eebdb 6 3 5
0ebe32dabd731c0c 3 5 2
0ed22984e21afd80 4 2 3
0ed95b785154ac4b 0 4 1
0f247276ac15e760 2 4 1
0f334bd6e44c5376 5 5 5
0f62169de8d252f5 2 1 1
0f8c5f3ce91f573b 7 4 6
0f911f37dff8dac9 2 6 3
0f96744a6d45b933 2 2 1
0fbf034ea83409d2 3 2 2
0fd36d0325f0d6d3 3 3 2
0fffbaa39f74f592 3 4 2
10299539b32914f8 2 6 1
103159e39eb30ead 6 4 5
103b485db977607b 4 2 4
103e5dba18d1ce5a 1 2 0
10488470779612fc 1 3 2
1070c519c3a80da9 3 6 2
108f79c3e2373676 2 1 1
109c88c155af3d42 1 3 2
109d86de74a1ba5b 4 5 5
10a237f6ff202b66 4 4 3
10a7a24d13b1f6c8 3 5 2
10d532f71d916668 4 1 3
10eb029a958478b9 2 4 1
1101ebea2383f6cd 5 2 4
1119ff5a57aeffd3 5 1 4
113fae659d710f6c 2 6 1
11552666fbadcfb6 0 0 1
1166c6437dd408dc 0 5 1
1169896e9ecb18a1 2 0 3
116caafaf0c22906 2 1 1
1170c1921e078c33 1 3 0
11994cea8cec2850 3 6 2
11a2182bb16d3382 1 5 2
11e5c20e2bd91263 2 6 1
11e73452c3d1027b 3 7 2
11fe5e4f7fa8aa57 2 0 1
12381076d0540e34 4 7 3
12588b1ac40d53e0 4 1 3
126c4e17fdec28bb 3 3 4
12a207e7340c2937 1 5 0
12a21f8a0cd51145 1 3 2
12f024ec31f05e3b 1 6 0
12f9a63f16d9bde4 0 5 0
12feb57cb3c443df 1 5 0
1312d080abce342f 4 2 5
131b7562fc94e583 1 7 0
1347b3beafc4d550 1 3 0
135dcf92ebaffb64 1 4 0
137baa93c3cc0edf 1 3 0
13943c6107baa41b 0 4 1
139a6adda77f2abf 1 7 2
13be09ac23c11548 4 1 3
13c422937cf40f4a 4 5 3
13e5770dfd0c1c53 5 6 4
13f6bff981cce951 1 3 0
1407af05b841a9d1 1 3 0
140922578e91e5e6 0 2 1
14231d9267f1c2c5 3 3 3
142f302965624007 3 5 2
143d4958ee82f378 2 1 1
14488bd0ad4dca6d 7 1 6
144c8912b87f8c7f 1 3 1
14566eeb70a47ef0 2 4 3
147e6dd5abfceec7 2 2 1
14808f8e644301c4 1 2 1
148c29a243df85ad 4 4 3
148d6f168e6a7c34 0 0 1
148ef4c3ea1cff71 0 3 0
14a407851e4a73ad 5 6 4
14aa962c68282f52 0 7 1
14cd638d71ee79de 3 7 4
14ecacfd7da94c48 1 7 0
150428d78bec015d 5 1 4
150a9f6f2c39ae4b 7 1 6
150ba0dcb6a23aea 0 3 0
15172612c4d0df67 0 2 1
1537a485bad9703b 2 3 1
15421d7b010c5f7d 0 2 1
15586ef1beaa47ee 1 3 0
1576a319a9d21c98 5 1 4
157775b3703de415 5 1 4
158437b1e6554ae1 1 6 0
15960c7487f120bb 3 3 2
1598a4bb7d2fd8cf 2 0 1
15a4ead0d3e503f4 3 5 4
15bdabc518839e72 2 2 1
15cc948c11f1ccbb 3 5 2
15d542f1b599b477 4 1 3
15db9f2bc14446f4 1 3 1
16007b4b1ac9cae1 6 2 5
161c17b1bfbeb338 2 1 1
1638b0f2df8ea424 2 4 3
16567588c5742ee1 1 3 2
16576d053da681a2 1 5 0
16620c814a732c43 6 5 7
1672de30553c9ed6 4 4 3
1676fbace3cb4b6a 2 2 1
168ef5b51352b849 5 5 4
169caebeb7c41388 1 1 0
169fc2104bd63f47 0 6 1
16b7804c3830eb97 6 6 5
16c70856972efdbf 4 3 3
16db8be3ff2ebf59 4 4 3
16e961bf1a5eacbf 1 2 0
16ff5c34f7f5401a 0 3 0
17010f0e367a8e7a 2 6 1
17015c7df5663b02 1 3 2
1726f67afb870c05 3 4 3
1730b4b0077234aa 1 4 2
1731b5d59a1f2469 2 4 2
1751cbcad895c088 2 1 1
1753ee66ec4eccc3 3 6 4
17597756e8ced9df 1 5 0
175ad1f4b4939f53 5 1 4
1788917e83408af4 1 1 0
178be32f92b02068 5 5 4
17b754673b048724 1 6 2
17d9bdcec5da2cf4 1 2 0
17e72dff3c84a55b 2 4 1
181858588508c4b1 0 1 1
1832b903d5015510 0 5 0
18366b28557568f2 3 6 2
184012ad1532ce17 0 4 1
185c7d375b4ff645 1 2 2
186939aceaa5786b 5 6 6
1878438164248d92 4 0 3
187e4089b58b21bc 0 3 1
1883b7e4d8bb0c9a 0 5 1
188a6c571dc86ce6 0 3 1
188b35225a70bdb5 1 5 0
188d99ae164cdb3d 2 6 1
18bcee59678c0895 1 3 0
18c066b299992906 0 2 1
18d08591c92449d9 5 2 4
18e9f364d0750c02 1 3 1
1905217ecaf4eca3 5 3 4
191cd77d5e9bf564 2 6 1
191ea92227a1b4e0 0 3 0
19250d3f68ea48bb 0 5 1
1932a0ad7919aea5 0 5 1
198caf3fe474057a 3 3 3
19ad9f81fa746fef 3 2 2
19b9c7f714de3451 1 3 2
19ba6f1faee326d2 3 6 2
19c70fde90a91c81 0 4 0
1a18510a09d6c2ca 5 5 6
1a19be9ec249a6b3 5 6 4
1a2d792356f289e8 1 5 2
1a369db1ca090d07 5 0 4
1a427bdf09376f50 4 2 3
1a529cec876edd02 0 5 0
1a72e01f8cb141ba 2 0 1
1a81c88dd244bd37 4 0 3
1a950247a0cc662e 4 3 5
1aa1de1e90396c9e 0 4 0
1aad070457f24765 6 2 5
1aad802426882f6b 3 3 2
1ab6676f4e07f978 1 3 0
1ab69dffa70e7445 1 3 0
1ac0cce39e76d836 0 2 1
1ac43d2f9603aa05 6 0 5
1ac498499abb9606 5 1 4
1ac51fb1ef765b37 1 5 0
1ad297e68338ab34 3 3 2
1aeddd4b47762ecf 4 5 3
1b140db3df13e383 2 2 1
1b28c676a186a89c 3 1 2
1b3d2a84456199c3 1 3 0
1b3eb2c924030212 5 1 4
1b5608844e58b630 1 5 1
1b6c24cab97dcbd5 2 3 1
1b783e11ba5ec42b 5 1 4
1b7e916e1ea85864 4 5 3
1b7f9f32b5c08335 2 0 1
1b8e1ab6e9b27842 5 6 4
1b9825508b0b049c 3 5 2
1bbd86c3b4a8fe3e 5 5 4
1c32635190de6069 1 3 2
1c60da59cce2e283 2 5 1
1c84ac1ba8cf1924 3 5 4
1c871a85cb01cfe7 4 5 3
1ca37883a374f35a 1 5 2
1ca865a3735b9191 4 4 3
1caaec095faef591 3 5 2
1ce1add018ecf7b8 2 7 1
1cffd44161ac96c6 3 4 3
1d06f44e7518d1ac 1 5 2
1d0e00ee1e62aca7 3 3 2
1d260c725302df71 1 3 0
1d4289919e922518 0 5 1
1d5547d547cc70be 1 2 0
1d6152a86e94893f 1 5 0
1d9071030c9f1a43 3 1 2
1d9d856a234365c8 5 5 5
1da5817661fd1c9f 6 7 5
1dba4bd23369d912 0 2 1
1dc8619ff78a3121 5 7 4
1dd482d626562b43 2 5 2
1ddfc8ea4b729973 1 5 0
1deb9e2f86a751a4 0 7 1
1defd2899c4f2510 0 5 1
1e0045c45104025b 1 6 0
1e024a6f3bf70666 2 5 3
1e267b386ddc3ce2 0 0 1
1e586b442564247b 1 5 1
1e6f4a60192e0ae3 2 2 1
1e7112bd4d801e7f 3 6 4
1e71f5d845b9948b 3 1 4
1e75549e98110c5b 7 4 6
1e8b519b13df7ced 0 5 1
1e9fa7b03a9cc83d 4 5 3
1ecfdec5befc4e8b 0 5 1
1edc304a9fa3325f 6 1 5
1ef1a64af508a610 0 4 0
1ef81047f70eb0ad 3 4 2
1f3d11a6410019d3 1 3 0
1f5da0c88dd04e74 1 2 0
1f6de35afbb7a587 4 7 3
1f78580f876f1da0 1 5 2
1f7cac274f011d40 2 3 1
1f9a5420167060d3 0 5 1
1f9f0b04a6fb4298 6 3 5
1fd674a77835f744 2 6 1
1ff3fc588722793b 4 5 5
1ffddc1fb0383086 1 2 1
201a67ab684ba4ef 2 2 3
2030d2bdfce9f32f 0 4 1
203b3b7ce64aa9b0 4 4 3
205ca6d026cd6a1d 0 4 1
20646a8ecb291275 4 3 3
2074eba428fbd4ca 3 0 2
2092a8d87225c178 4 2 3
20b9ec2a6fffabd4 2 6 1
20c8cee4c4fc9c90 1 3 0
20ebaf9c4e0e5307 4 7 3
20f0e5d928d11eab 7 2 6
20f72c30c5f87cdd 3 4 4
2117965a9b0f7b9e 0 3 1
212103062e34b69a 2 0 1
2128e26fbce62905 5 4 6
212adaf5297bd517 1 4 0
2139bba924788ecf 4 4 3
213eafd0a86d1bd2 4 1 3
2148516662c955af 5 4 4
2159d5045669cce3 0 4 1
217a346040ddf239 2 6 1
218fe15aa06f7c8a 4 5 4
2196e14b9db33f3d 0 4 0
21ab73827be66435 6 3 6
21b36d420bf6484a 3 2 4
21d2120f1759bef7 5 6 4
21e7925ae87c0854 0 4 0
21e8e576a0db1e16 3 6 2
21f307e3286dd060 6 6 5
2204a63a07f7b1a5 1 4 2
2206e57a7bea01b6 2 5 2
221a33ca0cf50dd0 5 4 6
2240561eb08c8e09 4 6 3
225a029cb84bd823 2 2 1
227d2e4096dceb24 5 1 4
2287c3dbeae1275a 3 7 2
229952edf68e2405 0 3 1
22ab32a7952fcf5d 5 5 4
22af220f3120d6f2 5 6 6
22b050bb4340c5d5 0 2 1
22c3e4f5bf2472ad 4 3 4
22c833e589745565 1 2 0
22cc984517a7c66a 1 4 1
22db83809e14b859 4 1 3
22e65fa44e2161f9 1 5 0
22f422661ef2c17d 4 2 3
23031164954cb64f 4 6 3
23444844cb726a8e 2 5 2
2349db6f6116635c 1 4 1
2352bcf79a8fb57d 1 3 1
235bc3d790c3c82d 6 4 6
23918aa1775973ef 0 3 0
2399301e090ef853 1 3 2
23994984ad4ed129 4 6 3
23a5d87f44abd9b3 1 2 2
23b8a9130d8a84da 3 1 2
23bc5b754067316a 0 5 1
23c18b406d0a41aa 5 0 6
23c301bb687684b0 5 3 4
23d6bc56ef1313cd 0 3 0
23efa7c61bf677d5 4 7 3
2421a9898bec0409 7 5 6
2422105bb639c143 0 5 1
24266062ef2a3930 0 3 1
247354bf92901459 2 3 3
24877804f81908dd 5 1 4
24a22e06d160a4e2 0 2 1
24bac07971ad1570 4 5 4
24e43fd01c0c02c4 6 4 5
24fdba0f0ae43b8d 5 6 4
250820a5b67839ec 3 4 2
251ab94caf51ad98 0 0 1
2546e9223532e7cc 1 2 2
25498c8ab22bad10 1 4 2
25667520a8358568 0 4 1
2586935457740f15 2 4 1
258a66d13f2ac302 1 2 0
25975735581bc678 4 1 3
259fef5816202572 2 4 1
25a5d6430b0f5d21 1 7 0
25c40445f203f6fd 1 5 0
25e5521114e956a7 5 1 4
2613a1facc852da7 0 3 1
26151a8aad75dae1 1 4 0
26184dbc98e1e821 0 4 1
261976052d3fad62 1 5 0
263160e129457d37 0 3 1
264dac64a8444f30 6 1 5
265358396e21dd22 1 3 2
26987002ee7aff90 2 6 1
269ca2cb068e6b20 2 5 2
26a04cb3227b9cd9 4 2 4
26ad0f4f427e1dcf 0 2 0
26cb5f56cce11dd8 1 0 0
26e41736e1d43d73 1 1 0
26e662d7227c2521 1 3 0
26f66873126daeee 4 0 3
2701a04bb1fca8e1 2 0 3
2701d65ea1394028 0 5 1
27032b184fae6dca 1 4 2
2717bbee94075c48 4 2 5
273fe04b1353817d 3 1 4
275a179662236d82 4 6 3
275d08c887407152 3 1 2
27770b8d4c2abf6d 5 6 4
279914aeab3ca9d3 2 2 3
27eb4191c63bd4da 1 6 0
28109e95e5d268b1 0 4 1
2811cd971c4c5abd 3 6 2
2826ba17155569eb 1 1 2
283956f34c962855 2 3 1
283a743c39745dfe 1 3 2
285a4357808e302c 4 5 5
2868ba09781cda2c 4 5 3
2876370abe2e84a6 6 3 6
2897231188cbf4dd 1 4 0
289ca59f0028e296 2 1 1
28b89370e8c605d5 1 2 0
28b8a62717c1ded4 1 2 2
28cdb5b8b4512eae 1 1 0
28dc0b65a8f54794 1 1 0
28e066b15264ac2e 5 2 4
28f9989d68e01e4b 4 3 3
28fea1441159bcc1 2 3 2
2908e5024de742d5 0 1 1
290a3a0b411b6739 0 5 1
290c5abe3405a53d 0 4 0
2951e2ec673273cf 1 1 0
29605b0a12069579 1 4 2
29991ce7a970cdb6 1 2 1
29b93a1d641654eb 3 3 4
29ecc3093f925e6e 7 3 6
2a13d488df008282 1 6 0
2a1b93173e353f8c 2 2 1
2a2462987f0d12dd 4 3 3
2a323e14dca99c0c 0 3 0
2a32c4d9d4ec8793 1 5 0
2a33f6b834967192 4 3 5
2a47264f90994b07 4 6 3
2a52220edc67d8f9 2 7 1
2a52d4bd7348400d 0 6 1
2a5660af40cb44e6 5 1 4
2a571cf06eabfdca 4 4 5
2a914be0654f26e8 6 1 7
2aa4edaeebf7fc4d 5 2 6
2ab56cf46eb01241 3 5 2
2abb19ac03c77585 3 5 2
2ac6ad0a85c0e39f 2 0 1
2add0ab64e247577 0 5 1
2ade8ad9b2c5e4c3 5 1 4
2ae338f49512b01a 5 6 4
2af4142e73358508 4 5 5
2b214f730533b0ce 5 4 5
2b23f1baf2e573a6 7 1 6
2b2b0de532da31e2 1 1 2
2b2cf790c6f81797 1 4 2
2b2da4c0477f9bc3 3 6 2
2b31a21068ae8e1d 3 1 2
2b624960a55b2321 1 3 0
2b6cfefaf3ae90a4 2 5 3
2b71470ea1f94227 0 5 1
2b7ed2a1aa46e263 0 4 1
2b93b501bc0ad6c4 1 1 0
2bf09c1d7d9fa473 0 5 0
2bfac6c57373a63c 3 4 2
2c13ea1e283d8e1f 1 1 0
2c17df6c74d65422 1 5 0
2c2375034834bbb8 0 5 1
2c2454862191e983 1 1 0
2c33f24a87f035e1 0 4 1
2c5f5e0c1855b3e6 0 5 1
2c7b3bb093e65922 0 4 0
2c8e79417aacb34b 5 0 5
2c93bb93f1ae6ec5 3 2 2
2c98d8ec108f1afd 1 4 0
2cb59dd1b754e806 5 6 4
2cdb8a3383a77345 1 3 0
2ce7e7420c3a32fc 4 5 4
2d1dd1ce223c03e4 6 6 5
2d3288f531a2f238 4 3 5
2d4477f326a45831 2 4 3
2d50e1237e9afc64 5 4 5
2d58395a5b8dd95d 3 6 2
2d65a03e1b5c2dd3 2 1 1
2d7067ea799fa1e9 3 7 2
2d777f9c562b631a 6 4 5
2d7e674d19b75d69 1 6 0
2d7edd706b27a3e4 0 3 1
2d880915e4dbb5e6 3 3 4
2d987de42af261bb 1 4 0
2d99c4fd3827749c 2 3 3
2dc28c0d5e247d18 0 4 1
2dc5f9f9554a5e2e 3 0 4
2df3a48b730aafa3 1 4 0
2dfd7594cf535c5b 0 4 1
2e152917b6f7c648 1 2 1
2e2155af232ca5eb 2 5 1
2e278d42b7546471 3 6 2
2e29806ec87c17fa 0 6 1
2e35401d3156103b 1 2 2
2e3db42bd6c93085 5 4 6
2e400a2a5dd8a557 4 3 3
2e521ed033612c80 2 6 1
2e5d3f03867740e9 1 4 0
2e66f85336daa248 1 6 0
2e67db1d72a7d4ab 4 1 3
2e7951819c63786f 1 5 0
2e83ea6c6aae297f 4 2 3
2e854b518bcb0ed9 3 4 2
2e8a421b1d902e85 2 6 3
2ea6435f0ddd2c48 4 3 4
2edcd31e2695325b 2 4 1
2ef9fc10f8d0c58f 1 3 2
2f12726d7689c515 2 7 3
2f2255d1c3f1ebd0 3 3 4
2f28785c84925270 3 3 4
2f3241baf9f87d18 0 7 1
2f34565856b3f8c7 3 6 4
2f34a4b862a50093 1 7 2
2f51f50838a99b58 0 2 1
2f6a1d91d915d732 6 1 6
2f811e41e989bd60 1 0 0
2f965bafdc98a056 1 2 2
2fa1d6551f0852ed 1 3 1
2fdc090728954686 2 1 1
2ff1aa3f2823db96 2 5 1
2ffa9a1c11eb9561 2 4 2
30050baa5e1dfb88 2 6 1
3007a1c8ea0e9c10 0 2 1
300bae35c22287d0 6 3 5
300f77989ecb4c1e 2 4 1
302059c1a903b7d0 0 3 1
3020e7fe38281b1b 1 3 2
302ce77596d41174 3 4 4
30454b1961a2ba67 0 7 1
3048186e8567c93e 0 4 0
3059c66513df62a5 1 5 0
308cefec23c53eec 3 7 2
30984f136407f425 4 1 3
30a86028aa859047 1 3 0
30b580ef61a38806 0 0 1
30c2a4ada5a0bc72 1 0 2
30cacdabf091b282 4 4 4
30cbb8ffb4118e93 3 7 2
30faffdcdb59b6c7 2 4 3
31018721fe18773c 3 4 2
3117c3e8de385978 0 5 0
3132595f5dde78f4 6 5 5
31613c866c7ebf27 4 6 5
3163c5fe41fe539a 4 5 5
3188b2a9e77eb8c5 4 0 5
318c1061c1ffc21e 1 4 2
31905c95c6852231 5 4 4
31c05dfb3a840f41 0 2 1
31c16a8926d28abb 6 5 5
31c695f243a468e6 5 3 6
31cda350bb3ea9a7 0 2 1
31d41c9aa15dc69f 2 1 1
31e23fdbc0a77631 0 2 1
31e4922f733b9cc7 5 1 4
31f23609318b0e55 0 5 0
31f30e2f01fca0da 1 4 0
31fea17060ca1bf2 1 5 0
3257686c643a875c 0 3 1
3278b9d10c2d07c4 5 6 4
327d2283d98aa403 4 5 3
32947f76eaa9789a 2 2 1
329e65fefb9bc054 5 5 4
32db58d539fb40e4 0 0 1
32e3cc217779820a 0 4 1
33009007d5a6cecc 3 6 4
33021ef118d42703 0 4 1
330ed5887d2a7826 4 7 3
334bbc1bb7d4769e 4 3 5
334e7f04de551867 0 2 1
335ffe8d703ca8c9 3 2 3
3363cf4ad85ef404 2 5 3
338ceb49ee20e0d3 3 6 2
338d550aae2f29a5 0 6 1
33a20dc05845b851 1 4 2
33b818678da68b9f 6 2 5
33c131fcdcd2beb0 2 2 1
33e6b2960d2c639e 4 5 3
33e95f23601318d1 4 1 3
33ee9bc139958bca 0 4 1
33f2ca6270428e8e 0 3 0
33f38f7d237ec9d4 4 2 4
34331123c7696e44 3 0 2
3433469f3b1653be 5 3 5
343a387ced686f85 7 6 6
3446a6595ffc48c7 1 5 0
3450d9b99909e578 6 2 5
3456625d62d04387 0 4 1
346a2822d1d88859 1 2 0
34781ac4fb27bc86 3 4 4
348f31e6de4cf2cc 1 5 2
3493d0d382d966fe 2 1 3
3499677226a1522b 4 3 3
3501f00b37ea22de 2 5 1
3519f377b39111bd 1 4 0
3527bd59bd14b26e 1 4 1
352a03f7f20e3bac 5 3 6
35450c691fa1353c 0 4 1
3561e42d8153c76f 2 4 1
3564b55167b01312 4 6 3
35a92d363bb5f43d 0 2 1
35ac53190f84fa65 3 5 2
35b1ef7faae75c33 1 4 0
35bb8c2138a31855 6 6 5
35bea3976b382eeb 1 6 0
35c52b625dde8ce9 1 2 0
35d0bfb153828a3f 1 4 1
35ee5d81aa7ea0eb 2 2 1
35f9560bca3a1a91 3 7 2
36140f4ab9896b83 3 2 3
3616f58356d3deee 0 4 1
3628d0316262f185 0 2 0
362eca89052f974f 1 0 2
36331ad8cfe0b730 4 2 3
363ac3c3a9dc85d8 5 6 4
363f5836b9b3c375 0 4 1
364ab8552d71c4bc 1 2 1
364cc9f12224e739 1 5 2
36543020c442903e 0 1 1
3676b89ffb04b9fb 3 3 2
368e79485129c8b6 6 6 5
369a5e7506f68f3a 3 3 2
370469ce0f19f843 2 2 1
3712387c1465a5f0 3 6 2
371b66bae9a27305 3 4 2
371c9206ce768433 3 5 2
3727a409320acf19 2 3 3
3737fce1f601d382 2 0 1
3743fa4c3302a1e0 0 3 1
374a0f428a454cff 1 6 2
37509044e69b1b6b 6 3 5
3767b01bb4373cd1 0 0 1
377b4f8f58a2eb07 1 3 1
377c46cbbe6ca3ae 3 1 4
37cb6b0be813a959 4 2 5
